title,type,progress_start,progress_target,progress_unit
[SALES]  Deliver Revenue Target,objectif à action unique ,,,
Increase leads/month by 5%,objectif chiffré récurrent,0,5,%
Find 5 new leads source,objectif chiffré ,0,5,
Deliver Q1 Bookings Target,objectif chiffré ,0,1,
Deliver Renewal Business Plan on X accounts,objectif à action unique ,,,
[PRODUCT]  Deliver Roadmaps,objectif à action unique ,,,
Deliver Standalone Roadmap,objectif à action unique ,,,
Deliver Onboarding Features,objectif à action unique ,,,
Deliver new backoffice,objectif à action unique ,,,
Deliver 100 new integrations,objectif chiffré ,0,100,
Improve Scalability : Test 4x user base,objectif chiffré ,0,4,
Maintain error rates to 0.2%,objectif chiffré ,0,0.2,%
Maintain number of GitHub issues to under 100,objectif chiffré ,0,100,
[HR] Manage all costs,objectif à action unique ,,,
Manage all costs and cash from 2016 budget,objectif à action unique ,,,
Perform monthly closing,objectif à action unique récurrent,,,
Monthly PNL below budgeted costs,objectif à action unique récurrent,,,
Reduce amount overdue to < X k€,objectif à action unique ,,,k€
Deliver 2016 recruitment plan : X hirings,objectif à action unique ,,,
Limit staff turnover : 0 resignation in key staff,objectif chiffré ,0,0,
8/10 employee satisfaction average,objectif chiffré ,8,10,
1 chat with each manager per quarter,objectif chiffré ,0,1,
[MARKETING]  Increase Customer Loyalty,objectif à action unique ,,,
Feature Customers in our content,objectif à action unique ,,,
Call X random customers to get feedback,objectif à action unique ,,,
Create Referral Program,objectif à action unique ,,,
Find 5 crazy reward ideas,objectif chiffré ,0,5,
Have 10% of customers use the program once,objectif chiffré ,0,10,%
[SUPPORT] Satisfaction Client,objectif à action unique ,,,
Volume de Contacts,objectif à action unique ,,,
Taux de résolution,objectif à action unique ,,,
Taux de service,objectif à action unique ,,,
Stock de contacts,objectif à action unique ,,,
Productivité équipe,objectif à action unique ,,,
[PRODUCT] Build a Web Scraper to get plenty of leads,objectif à action unique ,,,
Write patterns for 10 different sources,objectif chiffré ,0,10,
Have 90% match success,objectif chiffré ,0,90,%
Scrape >10 pages per second,objectif chiffré ,0,10,
[PRODUCT] 50 betatesteurs ont utilisé notre produit (JT),objectif chiffré ,0,50,
Avoir 20 betatesteurs qui ont été actifs,objectif chiffré ,0,20,
Minimum 4 top objectifs créés par entreprise par trimestre,objectif chiffré ,0,4,
1 MAJ Progrès minimum par utilisateur par semaine,objectif chiffré ,0,1,
"Identifier 5 power users, pour les suivre",objectif chiffré ,0,5,
